Longitude,Latitude,ElevationBottom
27.8249304319624,43.1918967606735,-16.5
27.8248787402466,43.191880288181,-16.4
27.8248280243232,43.1918658638489,-16.4
27.8247777243745,43.1918525497673,-16.4
27.8247238275788,43.1918390488324,-16.5
27.8246721764829,43.1918251216288,-16.5
27.8246190179994,43.1918119111146,-16.5
27.8245666171043,43.1917981711033,-16.5
27.8245104745793,43.1917850258151,-16.5
27.8244610977556,43.1917712245981,-16.6
27.8244094296037,43.1917563329823,-16.4
27.8243537216122,43.1917442820764,-16.5
27.8243038358815,43.1917304695024,-16.5
27.8242521622193,43.1917153315711,-16.4
27.8241974648124,43.1917007874759,-16.5
27.824147142909,43.1916870946727,-16.4
27.8240968355515,43.1916721127469,-16.4
27.824041134833,43.1916575029584,-16.4
27.8239894665066,43.1916430484567,-16.4
27.8239333412415,43.1916272821349,-16.4
27.8238839358454,43.1916141368096,-16.3
27.8238315664281,43.1915977084854,-16.4
27.8237783534046,43.1915832211888,-16.4
27.8237267368579,43.1915681281489,-16.4
27.8236728400622,43.191553676358,-16.5
27.8236167321159,43.1915400488212,-16.4
27.8235673260254,43.1915262459058,-16.6
27.823511149675,43.191511593795,-16.6
27.8234602370979,43.1914964893583,-16.5
27.8234055790996,43.1914802103475,-16.6
27.8233539392006,43.1914646022388,-16.6
27.8233001229903,43.1914491781142,-16.6
27.8232483740785,43.1914346967805,-16.6
27.8231967517,43.1914206031292,-16.6
27.8231473236201,43.1914064229257,-16.6
27.823095700981,43.1913900132849,-16.6
27.8230395527125,43.1913742299154,-16.6
27.8229901473164,43.1913591049127,-16.5
27.8229385133633,43.191345323029,-16.6
27.822884135589,43.1913303270847,-16.5
27.8228329483289,43.1913170490108,-16.5
27.8227774932925,43.1913019210563,-16.5
27.8227228861223,43.1912874524519,-16.5
27.8226727960923,43.1912723573529,-16.5
27.8226218525457,43.1912562298914,-16.6
27.8225657445993,43.1912430750839,-16.6
27.8225140589542,43.1912292555907,-16.5
27.8224646535581,43.1912158508249,-16.6
27.8224084938322,43.1912008718489,-16.7
27.8223546369507,43.1911875207717,-16.6
27.8223029976318,43.1911737667668,-16.6
27.8222505737628,43.191158650202,-16.6
27.8221973807301,43.1911433366119,-16.7
27.8221457641835,43.1911277577717,-16.5
27.8220954494856,43.1911124164528,-16.7
27.8220424619917,43.1910973547388,-16.6
27.8219900522134,43.1910817487417,-16.5
27.8219391597999,43.1910686032981,-16.7
27.8218874973045,43.1910534726207,-16.5
27.8218313662084,43.191038384798,-16.4
27.8217820176655,43.1910225942232,-16.5
27.8217307951505,43.1910088054219,-16.6
27.8216786586205,43.1909939193208,-16.8
27.8216292532245,43.1909805247119,-16.5
27.8215768945793,43.1909667125999,-16.5
27.8215237111058,43.19095275474,-16.5
27.8214720542369,43.1909389401584,-16.4
27.8214226145554,43.1909251921767,-16.4
27.8213687062145,43.1909100245887,-16.4
27.8213157278117,43.1908950831757,-16.6
27.8212609812527,43.190880631216,-16.8
27.8212093245882,43.1908668264362,-16.6
27.8211553934193,43.1908522950419,-16.5
27.821105563389,43.1908391567641,-16.6
27.8210535216518,43.1908248266263,-16.5
27.8209982344899,43.1908116133442,-16.5
27.8209480778434,43.1907978118699,-16.4
27.8208926977948,43.1907818022985,-16.4
27.8208410241035,43.1907670768128,-16.4
27.8207893614911,43.1907531117971,-16.4
27.8207354646954,43.1907386544215,-16.5
27.8206838764563,43.1907235477983,-16.4
27.820633064465,43.1907095683201,-16.3
27.8205827571076,43.1906952768978,-16.4
27.8205265858946,43.1906797047911,-16.3
27.8204772207323,43.1906635673884,-16.3
27.8204210667204,43.1906499240714,-16.5
27.8203716265073,43.1906348020607,-16.3
27.8203199988289,43.1906209945625,-16.3
27.8202701373601,43.1906075068744,-16.4
27.8202144623368,43.1905953654306,-16.4
27.8201641623498,43.1905822198815,-16.4
27.8201121200006,43.1905671290532,-16.4
27.8200617547489,43.1905506585287,-16.3
27.8200055893381,43.1905355464523,-16.4
27.8199562011431,43.1905210843129,-16.3
27.8199000643618,43.1905059849921,-16.3
27.819849779018,43.1904928434859,-16.3
27.8197967852028,43.1904777160356,-16.3
27.8197428884071,43.190464510122,-16.3
27.8196934599782,43.1904507642339,-16.3
27.8196377555555,43.190435146474,-16.2
27.8195856663867,43.1904200838315,-16.2
27.819531769591,43.1904047546899,-16.2
27.8194756328097,43.1903898308637,-16.2
27.8194261936981,43.190376458471,-16.2
27.8193745706035,43.1903613715368,-16.2
27.8193184396243,43.1903486319146,-16.2
27.8192667539792,43.1903357201875,-16.2
27.8192128916448,43.1903206255365,-16.1
27.8191634748202,43.1903074732413,-16.1
27.8191073550085,43.1902942320169,-16.1
27.819053464394,43.190280524085,-16.2
27.8190017844331,43.1902650847498,-16.1
27.8189524586314,43.1902499180225,-16.3
27.8188985055128,43.1902346802295,-16.2
27.8188446082445,43.1902207161645,-16.2
27.8187951800495,43.1902042841261,-16.1
27.8187435631521,43.1901886893849,-16.2
27.818687386458,43.1901747064458,-16.2
27.8186370975079,43.1901597737815,-16.1
27.8185863588311,43.1901464460038,-16.1
27.8185346788702,43.1901328649734,-16.2
27.8184807820744,43.1901194987655,-16.1
27.8184290911813,43.1901048576871,-16.2
27.8183774798826,43.1900899801444,-16.2
27.8183236175478,43.1900761140739,-16.1
27.8182719435074,43.1900607799495,-16
27.8182180578791,43.1900457199071,-16
27.8181663840994,43.1900314174655,-16
27.8181107016762,43.1900176258668,-16
27.8180608649252,43.1900030007141,-16
27.8180046937122,43.1899880380859,-16
27.8179543936878,43.1899691500099,-16
27.8178991285902,43.1899545098597,-16
27.8178430033251,43.1899398731796,-15.9
27.8177980893287,43.189924938792,-16
27.8177419697484,43.189911140522,-15.9
27.8176925131537,43.1898966501623,-15.9
27.8176408673083,43.1898828712208,-16
27.8175892335018,43.1898694397142,-15.9
27.8175398625665,43.1898534695502,-15.9
27.8174836913536,43.1898394917268,-15.9
27.8174342398919,43.1898263460138,-15.9
27.8173826119463,43.1898125356267,-15.9
